rank;born;country;category;time_total;time_1half;time_2half;time_0to5km;time_5to10km;time_10to15km;time_15to20km;time_20to25km;time_25to30km;time_30to35km;time_35to40km;time_40to42km
122;1;AUT;W-H;03:27:09;01:46:01;01:41:08;00:24:10;00:25:23;00:25:43;00:25:09;00:25:35;00:28:16;00:11:02;00:29:23;00:12:33
123;74;POL;W-45;03:27:15;01:44:03;01:43:12;00:24:31;00:24:44;00:25:12;00:24:14;00:24:32;00:24:24;00:24:42;00:24:33;00:10:26
124;79;GBR;W-40;03:27:32;01:42:29;01:45:03;00:23:14;00:23:54;00:25:24;00:24:34;00:24:41;00:24:51;00:24:55;00:25:12;00:10:51
125;93;GBR;W-30;03:27:34;01:44:59;01:42:35;00:25:02;00:24:47;00:25:27;00:24:22;00:24:27;00:24:38;00:24:22;00:24:17;00:10:16
126;89;SLO;W-30;03:27:34;01:42:12;01:45:23;00:23:59;00:24:15;00:24:47;00:23:58;00:24:05;00:24:24;00:25:07;00:25:48;00:11:17
127;81;GER;W-40;03:28:13;01:43:53;01:44:21;00:24:22;00:24:25;00:25:20;00:24:27;00:24:14;00:24:37;00:24:41;00:25:18;00:10:54
128;80;CZE;W-40;03:28:18;01:42:35;01:45:44;00:23:04;00:24:34;00:25:10;00:24:28;00:24:28;00:24:42;00:25:17;00:25:39;00:11:01
129;83;AUT;W-40;03:28:22;01:41:36;01:46:47;00:23:02;00:23:28;00:25:09;00:24:34;00:24:53;00:25:06;00:25:29;00:26:07;00:10:37
130;96;NOR;W-H;03:28:41;01:38:14;01:50:27;00:22:18;00:22:48;00:24:04;00:23:47;00:26:22;00:25:02;00:26:15;00:26:24;00:11:45
131;79;GER;W-40;03:28:41;01:42:06;01:46:35;00:23:21;00:23:44;00:24:54;00:24:40;00:24:59;00:25:16;00:25:27;00:25:30;00:10:54
132;71;AUT;W-50;03:28:56;01:42:23;01:46:34;00:23:36;00:24:13;00:25:01;00:24:14;00:24:51;00:25:02;00:25:14;00:25:44;00:11:05
133;86;AUT;W-35;03:29:01;01:41:58;01:47:03;00:23:50;00:24:11;00:24:50;00:23:49;00:24:07;00:24:51;00:25:56;00:26:06;00:11:24
134;82;GER;W-40;03:29:01;01:41:58;01:47:03;00:23:50;00:24:12;00:24:49;00:23:48;00:24:07;00:24:51;00:25:56;00:26:06;00:11:24
135;70;ITA;W-50;03:29:05;01:44:25;01:44:40;00:24:58;00:24:43;00:25:13;00:24:09;00:24:34;00:24:41;00:24:52;00:24:59;00:10:59
136;71;GER;W-50;03:29:16;01:40:52;01:48:24;00:22:48;00:23:29;00:24:43;00:24:27;00:24:33;00:25:36;00:26:11;00:26:10;00:11:23
137;92;GER;W-30;03:29:16;01:41:38;01:47:39;00:23:54;00:23:59;00:24:40;00:23:45;00:24:11;00:24:51;00:25:48;00:26:37;00:11:35
138;84;ITA;W-35;03:29:17;01:41:26;01:47:51;00:24:33;00:23:13;00:24:07;00:24:25;00:23:55;00:25:36;00:25:20;00:25:55;00:12:17
139;93;GER;W-30;03:29:55;01:44:22;01:45:33;00:24:48;00:24:42;00:25:18;00:24:13;00:24:37;00:24:51;00:24:51;00:25:45;00:10:54
140;70;AUT;W-50;03:29:55;01:43:34;01:46:22;00:24:06;00:24:23;00:25:13;00:24:29;00:24:35;00:24:54;00:25:33;00:26:02;00:10:45
141;88;HUN;W-35;03:30:04;01:43:44;01:46:21;00:23:55;00:24:27;00:25:40;00:24:19;00:24:33;00:25:07;00:25:04;00:26:10;00:10:52
142;87;BEL;W-35;03:30:05;01:42:16;01:47:50;00:23:18;00:23:45;00:25:31;00:24:19;00:24:27;00:25:03;00:25:35;00:26:06;00:12:04
143;82;AUT;W-40;03:30:37;01:43:32;01:47:05;00:24:25;00:24:15;00:25:00;00:24:30;00:24:43;00:24:39;00:25:28;00:26:35;00:11:06
144;90;AUT;W-30;03:30:45;01:44:09;01:46:37;00:24:27;00:24:41;00:25:11;00:24:24;00:24:47;00:25:21;00:25:37;00:25:29;00:10:52
145;94;GBR;W-H;03:30:50;01:41:43;01:49:08;00:23:10;00:23:37;00:24:35;00:24:46;00:25:04;00:25:33;00:26:11;00:26:31;00:11:27
146;93;GER;W-30;03:31:01;01:43:38;01:47:23;00:24:29;00:24:34;00:25:17;00:24:05;00:24:02;00:25:18;00:25:56;00:26:21;00:11:03
147;89;SRB;W-30;03:31:12;01:44:36;01:46:36;00:23:45;00:25:08;00:25:29;00:24:47;00:24:56;00:25:23;00:25:18;00:25:26;00:11:02
148;96;NOR;W-H;03:31:20;01:38:13;01:53:07;00:22:18;00:22:47;00:23:58;00:23:53;00:26:23;00:26:13;00:27:09;00:27:27;00:11:17
149;86;ITA;W-35;03:31:27;01:44:30;01:46:58;00:24:34;00:24:40;00:25:25;00:24:33;00:24:20;00:25:04;00:25:33;00:26:00;00:11:21
150;95;AUT;W-H;03:31:31;01:43:23;01:48:08;00:23:10;00:24:52;00:25:16;00:24:40;00:24:35;00:25:04;00:25:49;00:26:09;00:11:58
151;3;AUT;W-H;03:31:32;01:47:47;01:43:45;00:25:18;00:25:52;00:26:24;00:24:47;00:24:39;00:24:52;00:24:55;00:24:34;00:10:13
152;75;HON;W-45;03:31:38;01:45:12;01:46:26;00:25:05;00:24:35;00:25:24;00:24:47;00:24:51;00:25:07;00:25:31;00:25:25;00:10:58
153;84;HUN;W-35;03:31:42;01:46:23;01:45:19;00:25:12;00:25:03;00:25:43;00:24:57;00:24:54;00:24:59;00:25:15;00:24:59;00:10:44
154;79;GER;W-40;03:32:24;01:42:47;01:49:38;00:23:03;00:24:13;00:25:40;00:24:26;00:25:07;00:25:31;00:25:42;00:26:49;00:11:58
155;75;ROU;W-45;03:32:25;01:41:16;01:51:09;00:22:26;00:23:17;00:24:18;00:25:41;00:25:54;00:25:57;00:27:01;00:26:27;00:11:28
156;1;AUT;W-H;03:32:32;01:45:43;01:46:50;00:24:49;00:25:08;00:25:39;00:24:46;00:24:33;00:24:50;00:24:45;00:25:37;00:12:30
157;78;AUT;W-45;03:32:43;01:45:00;01:47:44;00:23:48;00:24:11;00:25:24;00:26:12;00:26:05;00:24:50;00:25:53;00:25:32;00:10:52
158;98;AUT;W-H;03:33:18;01:46:51;01:46:27;00:24:57;00:25:15;00:26:06;00:25:08;00:24:52;00:25:15;00:25:28;00:25:11;00:11:11
159;82;AUT;W-40;03:33:43;01:42:22;01:51:21;00:24:23;00:24:04;00:24:36;00:24:02;00:24:36;00:26:35;00:27:04;00:27:18;00:11:08
